key,lig,model,E,rmsd_lb,rmsd_ub,pvr_effic,pvr_n_contacts,torsdof,adph_fraction,adph_atoms_fraction,fdla_fraction,fdla_atoms_fraction
h11_ga8_m9,ga8,9,-5.0,20.717,22.805,-0.2381,7,13,0.30434782608695654,0.06896551724137931,0.0,0.0
h11_ab_m6,ab,6,-4.7,28.674,29.264,-0.3917,7,6,0.0,0.0,0.0,0.0
h11_gb8y_m6,gb8y,6,-5.3,7.67,11.058,-0.2524,11,14,0.34782608695652173,0.11494252873563218,0.0,0.0
h11_ga8_m3,ga8,3,-5.2,3.706,5.809,-0.2476,10,13,0.043478260869565216,0.022988505747126436,0.25,0.09090909090909091
h11_ab_m1,ab,1,-5.4,0.0,0.0,-0.45,13,6,0.0,0.0,0.25,0.10606060606060606
h11_ga8_m1,ga8,1,-5.4,0.0,0.0,-0.2571,18,13,0.0,0.0,0.4,0.16666666666666666
h11_ga8_m7,ga8,7,-5.1,7.737,10.52,-0.2429,11,13,0.21739130434782608,0.06896551724137931,0.15,0.045454545454545456
h11_ga8_m6,ga8,6,-5.1,10.811,14.052,-0.2429,9,13,0.21739130434782608,0.034482758620689655,0.1,0.015151515151515152
h11_ga8_m5,ga8,5,-5.1,12.137,15.348,-0.2429,10,13,0.30434782608695654,0.05747126436781609,0.05,0.0
h11_ga8_m4,ga8,4,-5.1,13.205,16.335,-0.2429,14,13,0.30434782608695654,0.08045977011494253,0.05,0.015151515151515152
h11_ab_m5,ab,5,-4.7,12.608,13.693,-0.3917,15,6,0.2608695652173913,0.10344827586206896,0.05,0.0
h11_ab6_m1,ab6,1,-5.8,0.0,0.0,-0.3053,13,11,0.2608695652173913,0.10344827586206896,0.0,0.0
h11_ab6_m2,ab6,2,-5.7,4.287,8.616,-0.3,4,11,0.17391304347826086,0.022988505747126436,0.0,0.0
h11_ab6_m3,ab6,3,-5.5,6.851,11.916,-0.2895,14,11,0.34782608695652173,0.09195402298850575,0.15,0.045454545454545456
h11_ab6_m4,ab6,4,-5.5,4.955,7.979,-0.2895,15,11,0.30434782608695654,0.12643678160919541,0.0,0.0
h11_ab6_m5,ab6,5,-5.5,13.163,16.597,-0.2895,13,11,0.0,0.0,0.35,0.12121212121212122
h11_ab6_m6,ab6,6,-5.4,3.554,5.183,-0.2842,12,11,0.34782608695652173,0.10344827586206896,0.0,0.0
h11_ab_m2,ab,2,-5.0,2.38,3.443,-0.4167,7,6,0.0,0.0,0.2,0.06060606060606061
h11_ab6_m8,ab6,8,-5.4,2.297,3.365,-0.2842,18,11,0.34782608695652173,0.13793103448275862,0.05,0.015151515151515152
h11_ab6_m9,ab6,9,-5.3,4.645,6.928,-0.2789,9,11,0.17391304347826086,0.06896551724137931,0.05,0.015151515151515152
h11_gb3_m3,gb3,3,-5.3,11.242,13.648,-0.3533,10,8,0.2608695652173913,0.05747126436781609,0.15,0.06060606060606061
h11_ab6_m7,ab6,7,-5.4,15.594,18.37,-0.2842,11,11,0.0,0.0,0.0,0.0
h11_ab_m9,ab,9,-4.6,13.129,13.83,-0.3833,11,6,0.2608695652173913,0.08045977011494253,0.05,0.015151515151515152
h11_ab_m8,ab,8,-4.7,13.831,14.369,-0.3917,17,6,0.34782608695652173,0.12643678160919541,0.05,0.030303030303030304
